cui	drugbank_id
C0252643	DB00559
C1260298	DB00560
C0013084	DB00561
C4256020	DB00561
C0053245	DB00562
C0025677	DB00563
C0006949	DB00564
C0530105	DB00565
C4256019	DB00565
C0012384	DB00566
C1875873	DB00566
C0007716	DB00567
C2699162	DB00567
C0008803	DB00568
C1099664	DB00569
C1099665	DB00569
C0042670	DB00570
C0033497	DB00571
C0004259	DB00572
C0015837	DB00573
C0015827	DB00574
C0009014	DB00575
C4256018	DB00575
C0038687	DB00576
C1564228	DB00576
C0249458	DB00577
C0006976	DB00578
C0024977	DB00579
C0728779	DB00579
C0913246	DB00580
C0022957	DB00581
C0393080	DB00582
C1136812	DB00582
C0087163	DB00583
C0014025	DB00584
C0085154	DB00585
C0012091	DB00586
C0287390	DB00587
C0117996	DB00588
C0023863	DB00589
C0114873	DB00590
C0016298	DB00591
C0031957	DB00592
C0015043	DB00593
C4255998	DB00593
C4255999	DB00593
C0002502	DB00594
C0030092	DB00595
C0701904	DB00595
C2698682	DB00595
C4255996	DB00595
C4255997	DB00595
C0082787	DB00596
C0060930	DB00597
C0022860	DB00598
C0039925	DB00599
C0282362	DB00599
C0936073	DB00599
C4255994	DB00599
C4255995	DB00599
C0050962	DB00600
C1660063	DB00600
C0663241	DB00601
C0022322	DB00602
C0065864	DB00603
C0072916	DB00604
C0038792	DB00605
C0591267	DB00605
C0056831	DB00606
C0027324	DB00607
C0008269	DB00608
C0015021	DB00609
C0733402	DB00609
C0025575	DB00610
C0006491	DB00611
C0053799	DB00612
C0002641	DB00613
C0016855	DB00614
C0728787	DB00614
C0140575	DB00615
C0070072	DB00617
C0722491	DB00617
C0011276	DB00618
C0906802	DB00619
C0935989	DB00619
C0040864	DB00620
C0029995	DB00621
C4255993	DB00621
C0028005	DB00622
C0591232	DB00622
C0016368	DB00623
C0039601	DB00624
C0718531	DB00624
C1515404	DB00624
C1515405	DB00624
C0674428	DB00625
C0004599	DB00626
C4255989	DB00626
C0027996	DB00627
C0008174	DB00628
C0770393	DB00628
C0018312	DB00629
C0018313	DB00629
C0102118	DB00630
C0771311	DB00630
C0092777	DB00631
C1174746	DB00631
C1530623	DB00631
C0075770	DB00632
C0113293	DB00633
C0038670	DB00634
C0032952	DB00635
C0009002	DB00636
C0591129	DB00636
C4085891	DB00636
C4255988	DB00636
C0085170	DB00637
C4255987	DB00637
C0021936	DB00638
C0054259	DB00639
C4255986	DB00639
C0001443	DB00640
C0045183	DB00640
C0591040	DB00640
C0718262	DB00640
C0813510	DB00640
C0074554	DB00641
C0678181	DB00641
C4082576	DB00641
C0210657	DB00642
C0025023	DB00643
C0699951	DB00643
C0023610	DB00644
C1588438	DB00644
C0058831	DB00645
C0028741	DB00646
C0699477	DB00646
C0033493	DB00647
C0026256	DB00648
C0702007	DB00648
C0164662	DB00649
C0023413	DB00650
C0907855	DB00650
C4048232	DB00650
C0013360	DB00651
C0030873	DB00652
C0591534	DB00652
C0024480	DB00653
C1572489	DB00653
C0090306	DB00654
C0593887	DB00654
C4255985	DB00654
C0014942	DB00655
C0700903	DB00655
C0040805	DB00656
C0025029	DB00657
C4255984	DB00657
C0718050	DB00658
C0284941	DB00659
C4255983	DB00659
C0163055	DB00660
C0702069	DB00660
C0042523	DB00661
C0077163	DB00662
C0016294	DB00663
C0038683	DB00664
C4255980	DB00664
C0068771	DB00665
C0722107	DB00665
C0064906	DB00666
C0014563	DB00668
C4255548	DB00668
C0075632	DB00669
C0206599	DB00669
C0678150	DB00669
C0721044	DB00669
C4255978	DB00669
C4255979	DB00669
C0031978	DB00670
C0060400	DB00671
C0008287	DB00672
C1176306	DB00673
C0016967	DB00674
C0039286	DB00675
C0592159	DB00675
C1177006	DB00675
C1515188	DB00675
C1515193	DB00675
C1515200	DB00675
C1515210	DB00675
C1515211	DB00675
C1655351	DB00675
C4255970	DB00675
C4255971	DB00675
C4255972	DB00675
C4255973	DB00675
C4255974	DB00675
C4255975	DB00675
C4255976	DB00675
C4255977	DB00675
C0053289	DB00676
C0022181	DB00677
